Year,Species.Code,FMP,sumRPN
2007,232,GOA,47.53442733
2007,310,BSAI,0
2007,310,GOA,34829.00988
2007,320,BSAI,346.8988904
2007,320,GOA,166.0881878
2007,351,BSAI,0
2007,351,GOA,0
2008,150,BSAI,0
2008,150,GOA,0
2008,160,BSAI,0
2008,160,GOA,0
2008,222,BSAI,0
2008,222,GOA,0
2008,232,BSAI,0
2008,232,GOA,0
2008,310,BSAI,82.20210309
2008,310,GOA,55514.58075
2008,320,BSAI,0
2008,320,GOA,311.7682317
2008,351,BSAI,0
2008,351,GOA,0
2009,150,BSAI,0
2009,150,GOA,0
2009,160,BSAI,0
2009,160,GOA,0
2009,222,BSAI,0
2009,222,GOA,0
2009,232,BSAI,0
2009,232,GOA,0
2009,310,BSAI,38.25
2009,310,GOA,44997.86499
2009,320,BSAI,41.98170732
2009,320,GOA,33.93879668
2009,351,BSAI,0
2009,351,GOA,0
2010,150,BSAI,0
2010,150,GOA,0
2010,160,BSAI,0
2010,160,GOA,0
2010,222,BSAI,0
2010,222,GOA,0
2010,232,BSAI,0
2010,232,GOA,0
2010,310,BSAI,0
2010,310,GOA,26243.25593
2010,320,BSAI,0
2010,320,GOA,1186.634587
2010,351,BSAI,0
2010,351,GOA,0
2011,150,BSAI,0
2011,150,GOA,0
2011,160,BSAI,0
2011,160,GOA,0
2011,222,BSAI,0
2011,222,GOA,0
2011,232,BSAI,0
2011,232,GOA,0
2011,310,BSAI,0
2011,310,GOA,25654.50215
2011,320,BSAI,33.95264144
2011,320,GOA,253.1252176
2011,351,BSAI,0
2011,351,GOA,0
2012,150,BSAI,0
2012,150,GOA,0
2012,160,BSAI,0
2012,160,GOA,0
2012,222,BSAI,0
2012,222,GOA,0
2012,232,BSAI,0
2012,232,GOA,0
2012,310,BSAI,0
2012,310,GOA,23154.281
2012,320,BSAI,0
2012,320,GOA,127.9633464
2012,351,BSAI,0
2012,351,GOA,0
2013,150,BSAI,0
2013,150,GOA,0
2013,160,BSAI,0
2013,160,GOA,0
2013,222,BSAI,0
2013,222,GOA,0
2013,232,BSAI,0
2013,232,GOA,0
2013,310,BSAI,0
2013,310,GOA,9564.336003
2013,320,BSAI,70.97077922
2013,320,GOA,88.60302653
2013,351,BSAI,0
2013,351,GOA,0
2014,150,BSAI,0
2014,150,GOA,0
2014,160,BSAI,0
2014,160,GOA,0
2014,222,BSAI,0
2014,222,GOA,0
2014,232,BSAI,0
2014,232,GOA,0
2014,310,BSAI,6.588541667
2014,310,GOA,59188.68127
2014,320,BSAI,0
2014,320,GOA,82.52951054
2014,351,BSAI,0
2014,351,GOA,9.491071429
2015,150,BSAI,0
2015,150,GOA,0
2015,160,BSAI,0
2015,160,GOA,0
2015,222,BSAI,0
2015,222,GOA,0
2015,232,BSAI,0
2015,232,GOA,0
2015,310,BSAI,0
2015,310,GOA,26463.13458
2015,320,BSAI,67.23945409
2015,320,GOA,41.29379777
2015,351,BSAI,0
2015,351,GOA,24.2160205
2016,150,BSAI,0
2016,150,GOA,0
2016,160,BSAI,0
2016,160,GOA,0
